"","Deaths","month_year","month","time"
"266",20,2021-02-01,2021 Feb,266
"267",25,2021-03-01,2021 Mar,267
"268",24,2021-04-01,2021 Apr,268
"269",23,2021-05-01,2021 May,269
"270",22,2021-06-01,2021 Jun,270
"271",25,2021-07-01,2021 Jul,271
"272",20,2021-08-01,2021 Aug,272
"273",35,2021-09-01,2021 Sep,273
"274",24,2021-10-01,2021 Oct,274
"275",16,2021-11-01,2021 Nov,275
"276",16,2021-12-01,2021 Dec,276
"277",27,2022-01-01,2022 Jan,277
"278",30,2022-02-01,2022 Feb,278
"279",26,2022-03-01,2022 Mar,279
"280",23,2022-04-01,2022 Apr,280
"281",21,2022-05-01,2022 May,281
"282",32,2022-06-01,2022 Jun,282
"283",22,2022-07-01,2022 Jul,283
"284",20,2022-08-01,2022 Aug,284
"285",32,2022-09-01,2022 Sep,285
"286",14,2022-10-01,2022 Oct,286
"287",25,2022-11-01,2022 Nov,287
"288",22,2022-12-01,2022 Dec,288
"289",21,2023-01-01,2023 Jan,289
"290",19,2023-02-01,2023 Feb,290
"291",21,2023-03-01,2023 Mar,291
"292",21,2023-04-01,2023 Apr,292
"293",19,2023-05-01,2023 May,293
"294",25,2023-06-01,2023 Jun,294
"295",28,2023-07-01,2023 Jul,295
"296",19,2023-08-01,2023 Aug,296
"297",24,2023-09-01,2023 Sep,297
"298",20,2023-10-01,2023 Oct,298
"299",19,2023-11-01,2023 Nov,299
"300",34,2023-12-01,2023 Dec,300
"301",17,2024-01-01,2024 Jan,301
"302",25,2024-02-01,2024 Feb,302
"303",17,2024-03-01,2024 Mar,303
"304",18,2024-04-01,2024 Apr,304
"305",25,2024-05-01,2024 May,305
"306",13,2024-06-01,2024 Jun,306
"307",18,2024-07-01,2024 Jul,307
"308",23,2024-08-01,2024 Aug,308
"309",22,2024-09-01,2024 Sep,309
"310",21,2024-10-01,2024 Oct,310
"311",12,2024-11-01,2024 Nov,311
"312",11,2024-12-01,2024 Dec,312
