"","Deaths","month_year","month","time"
"302",81,2024-02-01,2024 Feb,302
"303",74,2024-03-01,2024 Mar,303
"304",102,2024-04-01,2024 Apr,304
"305",99,2024-05-01,2024 May,305
"306",83,2024-06-01,2024 Jun,306
"307",104,2024-07-01,2024 Jul,307
"308",80,2024-08-01,2024 Aug,308
"309",79,2024-09-01,2024 Sep,309
"310",102,2024-10-01,2024 Oct,310
"311",93,2024-11-01,2024 Nov,311
"312",81,2024-12-01,2024 Dec,312
